Title,Company,Experience,Salary,Location,Skills,Description,Link
Data Analyst,Capgemini,4-9 Yrs,Not Disclosed,"Hybrid - Pune, Chennai, Bengaluru","Banking And Insurance, Cloud Migration, Data Warehousing, Data Analytics, SQL, Data Engineering, Data Management, Engineering",Role & responsibilities:Outline the day-to-day responsibilities for this role.Preferred...,https://www.naukri.com/job-listings-data-analyst-capgemini-pune-chennai-bengaluru-4-to-9-years-170426006956
Walk-in || Data Analyst,Maximatexprocessmill,N/A,2-2.5 Lacs PA,N/A,"MS Office, ERP, Erp Support, Data analysis, Data, Microsoft, Office","Must have basic computer knowledge, good communication skills, and attention to detailE...",https://www.naukri.com/job-listings-data-analyst-maximatexprocessmill-karur-0-to-2-years-170426027670
Data Analyst Fintech,EXL,3-5 Yrs,Not Disclosed,Bengaluru,"SQL queries, Finance Manager, Automation, Analytical, Business analytics, Data Analyst, Data quality, Data analytics",3 5 years of experience in Data Analytics / Business Analytics . Strong SQL skills with...,https://www.naukri.com/job-listings-data-analyst-fintech-exl-services-com-i-pvt-ltd-bengaluru-3-to-5-years-140426503315
DATA ANALYST,Godigi Infotech,N/A,Unpaid,Pune,N/A,N/A,https://www.naukri.com/job-listings-data-analyst-godigi-infotech-pune-0-to-1-years-130126506831
Data Analyst,Moveinsync Technology Solutions,1-3 Yrs,5-10 Lacs PA,Bengaluru,"Data Analysis, Data Analytics, Python, Analysis, Analytics, Data","About MoveInSyncMoveInSync is the largest commute SaaS provider, helping enterprises ma...",https://www.naukri.com/job-listings-data-analyst-moveinsync-technology-solutions-bengaluru-1-to-3-years-090426026159
Data Analyst,3i Infotech,2-3 Yrs,4-5 Lacs PA,Mumbai (All Areas)(Vashi),"Basic Sql, Advance Excel, Transunion, Back Office Support, Data Entry, Data Entry Operation, Back office, Basic","We are looking for a Data Analyst to analyze large datasets, ensure data quality, and ...",https://www.naukri.com/job-listings-data-analyst-3i-infotech-mumbai-all-areas-2-to-3-years-170426015705
Virtusa Hiring Data Analyst For Bangalore Location,Virtusa,4-7 Yrs,10-18 Lacs PA,Hybrid - Bengaluru,"Pandas, Data Analyst, Numpy, Python, SQL, Data analysis, Hiring, Data",Experience: Minimum of 3+ years of professional experience in a. data-heavy environment...,https://www.naukri.com/job-listings-virtusa-hiring-data-analyst-for-bangalore-location-virtusa-bengaluru-4-to-7-years-170426020382
Data Analyst,Gokaldas Exports,2-4 Yrs,Not Disclosed,Bangalore/Bengaluru,"analytics, excel, data analysis, data analytics, sas, advanced excel, predictive modeling, Tableau","Experience with data analysis tools such as SQL, Tableau, or R. Excellent analytical, p...",https://www.naukri.com/job-listings-data-analyst-gokaldas-exports-ltd-bangalore-bengaluru-2-to-4-years-080426933843
Data Analyst,Eduport,0-1 Yrs,Not Disclosed,Kozhikode,"Data analysis, Machine learning, Data processing, power bi, Predictive modeling, Data Analyst, Forecasting, SQL","The ideal candidate should be highly analytical, detail-oriented, and capable of transf...",https://www.naukri.com/job-listings-data-analyst-eduport-kozhikode-0-to-1-years-150426501948
Data Analyst,Creditsafe,4-6 Yrs,Not Disclosed,Hybrid - Hyderabad,"AWS, Python, SQL, Data Analytics, Analytics, Data analysis, Data","Awareness of AWS services such as Redshift, S3, Athena, Lambda, Step Functions, AWS Bat...",https://www.naukri.com/job-listings-data-analyst-creditsafe-hyderabad-4-to-6-years-150426016339
